"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"18","서울특별시 영등포구 도림동","137-7","0137","0007","시온(Zion)하우스","전세","29.2500","202605","31","22,600","0","4","2022"," ","202605~202805","갱신","-","22,600","0","연립다세대"
"19","경기도 시흥시 거모동","1721-1","1721","0001","대륭주택가동","전세","47.3500","202605","31","7,000","0","3","1996","군자로465번안길 2","202605~202805","갱신","사용","7,000","0","연립다세대"
"20","서울특별시 송파구 송파동","133-9","0133","0009","STORYVILL","전세","18.6400","202605","31","18,000","0","2","2018","백제고분로46길 8-6","202607~202807","갱신","사용","17,200","0","연립다세대"
"21","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","74.4300","202605","31","1,000","117","4","2015","에듀시티로 148","202607~202706","갱신","-","1,000","133","연립다세대"
"22","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","59.7000","202605","31","1,000","83","3","2015","에듀시티로 148","202607~202706","갱신","-","1,000","92","연립다세대"
"23","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","74.4300","202605","31","1,000","100","3","2015","에듀시티로 148","202607~202707","갱신","-","1,000","125","연립다세대"
"24","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","59.7000","202605","31","1,000","83","2","2015","에듀시티로 148","202607~202707","갱신","-","1,000","100","연립다세대"
"25","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","74.4300","202605","31","500","100","3","2015","에듀시티로 148","202607~202707","갱신","-","500","125","연립다세대"
"26","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","59.7000","202605","31","1,000","83","2","2015","에듀시티로 148","202606~202706","갱신","-","1,000","92","연립다세대"
"27","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","74.4300","202605","31","1,000","92","1","2015","에듀시티로 148","202608~202708","갱신","-","1,000","117","연립다세대"
"28","제주특별자치도 서귀포시 대정읍 보성리","2424","2424","0000","삼정G.edu","월세","74.4300","202605","31","1,000","100","3","2015","에듀시티로 148","202607~202707","갱신","-","1,000","125","연립다세대"
"29","제주특별자치도 서귀포시 대정읍 보성리","479","0479","0000","한돌빌라","월세","84.3125","202605","31","1,000","100","4","2018","보성구억로 209","202607~202707","갱신","-","1,000","108","연립다세대"
"30","충청북도 충주시 중앙탑면 용전리","686","0686","0000","서충주신도시코아루더테라스","월세","84.4393","202605","31","2,000","90","1","2019","원앙9길 10","202606~202607","갱신","사용","19,000","0","연립다세대"
"31","서울특별시 은평구 응암동","697-21","0697","0021","담터캐슬","전세","26.7500","202605","31","18,690","0","3","2018","가좌로7다길 13-11","202607~202807","갱신","-","17,800","0","연립다세대"
"32","부산광역시 금정구 구서동","1007-31","1007","0031","블루아","월세","14.0400","202605","31","300","37","5","2016","두실로 55-6","202605~202705","갱신","사용","500","32","연립다세대"
"33","서울특별시 성동구 금호동4가","1490","1490","0000","JS해피하우스","월세","18.3000","202605","31","1,000","69","1","2018","동호로 99-2","202607~202807","갱신","사용","1,000","66","연립다세대"
"34","서울특별시 강남구 대치동","916-58","0916","0058","파인빌라","월세","41.7700","202605","31","24,000","25","4","1996","삼성로67길 40","202606~202806","갱신","사용","24,000","20","연립다세대"
"35","서울특별시 은평구 구산동","177-37","0177","0037","고은명가(177-37)","월세","29.9900","202605","31","2,100","99","5","2022","갈현로11가길 13","202606~202806","갱신","사용","2,000","95","연립다세대"
"36","서울특별시 광진구 중곡동","97-8","0097","0008","한울터","월세","38.6800","202605","31","19,000","16","2","2011","자양로51길 56-3","202606~202806","갱신","-","19,000","16","연립다세대"
"37","서울특별시 송파구 잠실동","297-18","0297","0018","(297-18)","월세","33.5900","202605","31","7,000","40","5","2003","백제고분로12길 12-16","202605~202706","갱신","-","7,000","40","연립다세대"
"38","서울특별시 동작구 노량진동","325-4","0325","0004","신동아리버파크빌","월세","62.9000","202605","31","5,000","84","1","2001","만양로3길 20","202605~202805","갱신","사용","5,000","80","연립다세대"
"39","경기도 구리시 수택동","684-1","0684","0001","우림빌라(101~103동)","전세","59.7120","202605","31","21,000","0","2","2000","이문안로147번길 35","202607~202807","갱신","사용","20,000","0","연립다세대"
"40","서울특별시 강남구 논현동","68-18","0068","0018","화인빌","월세","30.1600","202605","31","14,000","22","3","2002","논현로146길 35","202606~202706","갱신","-","15,000","12","연립다세대"
"41","서울특별시 은평구 녹번동","134-5","0134","0005","보성리엔빌","전세","28.9800","202605","31","22,600","0","3","2018","녹번로3길 16-26","202606~202806","갱신","사용","23,500","0","연립다세대"
"42","강원특별자치도 철원군 동송읍 이평리","847-36","0847","0036","더샵(3동)","전세","71.4200","202605","31","14,700","0","5","2021","이평로85번길 28-12","202606~202806","갱신","-","14,000","0","연립다세대"
"43","경기도 의왕시 포일동","64-4","0064","0004","라온빌C","월세","21.3300","202605","31","8,100","16","4","2012","새터길 15","202606~202806","갱신","사용","8,100","14","연립다세대"
"44","경기도 안양시 동안구 관양동","1430-4","1430","0004","로얄타운(3동)","월세","36.1800","202605","31","3,000","55","3","1988","관악대로373번길 28-16","202606~202806","갱신","-","3,000","55","연립다세대"
"45","경기도 수원시 권선구 권선동","1056-9","1056","0009","GL하임015","전세","27.5400","202605","31","12,500","0","5","2018","경수대로338번길 31","202607~202806","갱신","-","12,500","0","연립다세대"
"46","울산광역시 남구 달동","642-5","0642","0005","복성코아트2차","전세","55.5850","202605","31","7,000","0","4","2002","삼산로93번길 16-11","202605~202805","갱신","사용","8,900","0","연립다세대"
"47","인천광역시 미추홀구 주안동","11-1","0011","0001","유한빌라","전세","41.7600","202605","31","6,800","0","3","1992","길파로41번길 97","202605~202805","갱신","-","7,800","0","연립다세대"
"48","서울특별시 강동구 성내동","386-65","0386","0065","미네오빌","월세","44.9800","202605","31","15,010","24","2","2006","천호대로174길 65","202606~202806","갱신","-","15,000","20","연립다세대"
"49","서울특별시 중랑구 망우동","466-38","0466","0038","한솔","전세","63.2200","202605","31","25,500","0","3","2002","망우로66길 41","202606~202806","갱신","사용","25,000","0","연립다세대"
"50","서울특별시 관악구 봉천동","1596-17","1596","0017","우영ARTEVILLNAKSUNG","전세","26.0900","202605","31","36,000","0","8","2022","관악로6길 59","202606~202806","갱신","-","36,000","0","연립다세대"
"51","제주특별자치도 제주시 조천읍 대흘리","1124","1124","0000","제주더오름카운티1","전세","84.9500","202605","31","25,500","0","1","2019","중산간동로 780","202606~202805","갱신","-","26,500","0","연립다세대"
"52","경기도 오산시 오산동","835-21","0835","0021","골든하버","전세","16.1000","202605","31","6,300","0","5","2016","경기대로 319","202606~202806","갱신","-","6,300","0","연립다세대"
"53","서울특별시 강남구 개포동","1203-2","1203","0002","까사델리아(Casadellia)","월세","44.3500","202605","31","31,500","11","4","2014","개포로22길 39-6","202607~202807","갱신","-","31,500","5","연립다세대"
"54","서울특별시 마포구 연남동","487-117","0487","0117","묘나공주","전세","21.7400","202605","31","22,653","0","2","2020","성미산로18길 8","202606~202806","갱신","-","21,575","0","연립다세대"
"55","서울특별시 은평구 진관동","9","0009","0000","은평지웰테라스","전세","84.9703","202605","31","55,000","0","3","2017","진관4로 78-38","202607~202807","갱신","사용","52,600","0","연립다세대"
"56","서울특별시 은평구 갈현동","512-20","0512","0020","늘솜빌라","전세","59.4700","202605","31","35,170","0","5","2018","갈현로25길 11-9","202606~202806","갱신","사용","33,500","0","연립다세대"
"57","경기도 하남시 덕풍동","444","0444","0000","(444-0)","전세","41.4500","202605","31","19,500","0","5","2016","역말로 32","202606~202806","갱신","사용","19,000","0","연립다세대"
"58","경기도 하남시 덕풍동","375","0375","0000","대성주택(라동)","전세","69.1200","202605","31","20,000","0","1","1996","수리남로6번길 7","202605~202805","갱신","-","20,000","0","연립다세대"
"59","서울특별시 용산구 신계동","8-5","0008","0005","금강프라임빌","월세","26.3900","202605","31","20,500","9","2","2018","새창로45가길 24","202606~202806","갱신","사용","20,500","5","연립다세대"
"60","경기도 수원시 권선구 세류동","189-9","0189","0009","우리플레이스","전세","22.7280","202605","31","12,300","0","2","2022","세류로 7","202605~202712","갱신","-","12,600","0","연립다세대"
"61","부산광역시 중구 대청동4가","75-47","0075","0047","삼중주택","월세","44.5180","202605","31","500","20","4","1995","망양로314번길 1-4","202605~202805","갱신","-","2,500","0","연립다세대"
"62","서울특별시 송파구 방이동","127-28","0127","0028","(127-28)","전세","45.5400","202605","31","26,200","0","3","2006","가락로34길 9","202607~202807","갱신","사용","25,200","0","연립다세대"
"63","서울특별시 송파구 석촌동","3-3","0003","0003","블레스빌","월세","27.0900","202605","31","7,000","39","4","2012","백제고분로33길 31-16","202606~202806","갱신","-","7,000","37","연립다세대"
"64","서울특별시 강남구 대치동","915-3","0915","0003","제이원","월세","20.6700","202605","31","25,200","10","5","2016","삼성로69길 17","202605~202805","갱신","사용","25,200","0","연립다세대"
"65","서울특별시 관악구 봉천동","734-20","0734","0020","동방타운","전세","49.9800","202605","31","23,500","0","1","1995","봉천로7길 37","202605~202805","갱신","-","23,000","0","연립다세대"
"66","서울특별시 동작구 사당동","219-31","0219","0031","하나빌라","월세","21.6200","202605","31","10,000","18","3","2001","사당로9가길 27","202607~202807","갱신","-","10,000","13","연립다세대"
"67","서울특별시 강서구 화곡동","471-18","0471","0018","DS에코타운(471-18)","월세","29.9800","202605","31","15,100","7","2","2014","등촌로13바길 38-17","202607~202807","갱신","-","15,100","0","연립다세대"
"68","서울특별시 은평구 역촌동","66-33","0066","0033","원촌빌라","월세","33.6000","202605","31","200","31","-1","1994","연서로3길 22","202605~202805","갱신","-","200","31","연립다세대"
"69","서울특별시 동대문구 전농동","213-22","0213","0022","플러스빌","월세","60.0700","202605","31","19,000","20","2","2009","답십리로23나길 14","202607~202707","갱신","-","19,000","20","연립다세대"
"70","서울특별시 광진구 자양동","589-7","0589","0007","한양팰리스(589-7)","전세","27.0800","202605","31","28,000","0","3","2017","자양번영로3나길 35","202607~202806","갱신","-","27,000","0","연립다세대"
"71","서울특별시 서초구 우면동","6-18","0006","0018","골든트리","전세","50.5300","202605","31","33,000","0","3","2019","바우뫼로6길 8-31","202607~202807","갱신","-","32,000","0","연립다세대"
"72","서울특별시 성북구 장위동","66-317","0066","0317","성우그린맨션","월세","48.8900","202605","31","4,000","65","1","1996","화랑로33가길 61","202605~202805","갱신","-","3,000","50","연립다세대"
"73","서울특별시 마포구 망원동","409-55","0409","0055","대명피렌체","월세","24.9400","202605","31","20,000","15","3","2011","포은로5길 40","202607~202807","갱신","사용","20,000","0","연립다세대"
"74","서울특별시 동대문구 제기동","65-4","0065","0004","나섬빌라","전세","74.4350","202605","31","24,000","0","3","1997","제기로4나길 34","202606~202805","갱신","-","18,800","0","연립다세대"
"75","서울특별시 광진구 중곡동","97-8","0097","0008","한울터","월세","38.6800","202605","31","19,000","16","2","2011","자양로51길 56-3","202606~202806","갱신","-","19,000","16","연립다세대"
"76","서울특별시 서대문구 북가좌동","328-14","0328","0014","다인하우스(328-14)","월세","17.2600","202605","30","500","34","3","2012","증가로29길 12","202608~202808","갱신","사용","500","32","연립다세대"
"77","서울특별시 강동구 천호동","43-68","0043","0068","이안","월세","24.7800","202605","30","5,000","80","2","2023","양재대로127길 15-11","202606~202805","갱신","-","5,000","75","연립다세대"
"78","서울특별시 광진구 광장동","266","0266","0000","미도","전세","62.9600","202605","30","26,200","0","3","1986","광장로3길 22","202607~202807","갱신","사용","25,000","0","연립다세대"
"79","서울특별시 영등포구 영등포동2가","300-1","0300","0001","리오파크오피스텔","월세","26.4800","202605","30","21,000","40","4","2022","영등포로49길 9-8","202609~202809","갱신","-","21,000","40","연립다세대"
"80","서울특별시 성북구 성북동","179-33","0179","0033","남경빌라(105동)","전세","109.7600","202605","30","34,500","0","4","1998","성북로8길 50","202606~202806","갱신","사용","34,500","0","연립다세대"
"81","서울특별시 송파구 삼전동","106-11","0106","0011","106-11","월세","16.9100","202605","30","500","55","4","2012","삼전로10길 37-1","202605~202805","갱신","사용","500","53","연립다세대"
"82","서울특별시 양천구 목동","607-14","0607","0014","로얄캐슬","월세","21.9200","202605","30","2,000","80","6","2016","목동중앙북로7나길 37","202606~202706","갱신","사용","2,000","76","연립다세대"
"83","울산광역시 울주군 온산읍 덕신리","185-6","0185","0006","용창원룸","월세","32.1900","202605","30","300","33","2","2000","영남4길 47","202606~202705","갱신","사용","300","32","연립다세대"
"84","경기도 남양주시 퇴계원읍 퇴계원리","75-1","0075","0001","뉴반도하우스","전세","46.8700","202605","30","22,000","0","1","2021","퇴계원로 114","202608~202808","갱신","사용","21,000","0","연립다세대"
"85","서울특별시 금천구 가산동","238-28","0238","0028","S-클래스102동","월세","29.9900","202605","30","19,350","5","2","2016","두산로3길 39-12","202605~202705","갱신","사용","19,800","0","연립다세대"
"86","인천광역시 연수구 청학동","14-45","0014","0045","(14-45)","전세","37.4700","202605","30","9,000","0","2","2015","청솔로 76","202606~202805","갱신","-","9,000","0","연립다세대"
"87","서울특별시 송파구 가락동","141-26","0141","0026","(141-26)","월세","48.0800","202605","30","14,425","45","3","2012","중대로16길 23-1","202607~202807","갱신","-","14,425","40","연립다세대"
"88","서울특별시 마포구 노고산동","54-31","0054","0031","위드빌딩","월세","20.5500","202605","30","1,000","105","5","2013","신촌로16길 24","202606~202805","갱신","-","1,000","100","연립다세대"
"89","서울특별시 용산구 신창동","56-6","0056","0006","미샹보르6차","전세","27.3800","202605","30","25,467","0","2","2020","효창원로 48-9","202607~202806","갱신","-","24,255","0","연립다세대"
"90","전남광주통합특별시 광양시 금호동","624-1","0624","0001","백합(624-1)","월세","69.0900","202605","30","500","40","3","1989","금호로 41","202606~202702","갱신","사용","500","40","연립다세대"
"91","인천광역시 서해구 가좌동","143-203","0143","0203","대한빌라(2,6동)","전세","36.2000","202605","30","5,400","0","3","1991","가남로 133","202605~202706","갱신","-","5,400","0","연립다세대"
"92","경기도 과천시 별양동","26-7","0026","0007","(26-7)","전세","55.1900","202605","30","35,700","0","2","2023","향촌3길 39","202606~202706","갱신","-","34,000","0","연립다세대"
"93","경기도 과천시 중앙동","30-7","0030","0007","RUACH","전세","45.4100","202605","30","35,700","0","3","2022"," ","202608~202808","갱신","사용","34,000","0","연립다세대"
"94","서울특별시 성동구 성수동1가","656-944","0656","0944","한양주택가동","월세","52.0600","202605","30","5,000","147","3","1990","왕십리로4길 8","202605~202805","갱신","사용","5,000","140","연립다세대"
"95","경기도 안산시 단원구 와동","706","0706","0000","강남빌","월세","41.9950","202605","30","9,800","5","2","2016","사세충열로1길 16","202605~202805","갱신","-","9,800","5","연립다세대"
"96","부산광역시 수영구 광안동","90-40","0090","0040","화이트빌","월세","43.1600","202605","30","10,000","20","2","2004","수영로674번길 12","202606~202806","갱신","-","10,000","20","연립다세대"
"97","서울특별시 구로구 구로동","474-21","0474","0021","에버그린","월세","17.9800","202605","30","22,500","25","8","2023","구로동로47길 24-2","202607~202707","갱신","사용","22,500","20","연립다세대"
"98","서울특별시 서대문구 연희동","170-93","0170","0093","영아트빌","월세","29.7200","202605","30","1,000","83","3","2016","연희로33길 36-9","202606~202806","갱신","-","1,000","79","연립다세대"
"99","서울특별시 중랑구 상봉동","85-2","0085","0002","해피뜨래(85-2)","전세","18.6800","202605","30","19,900","0","6","2018","상봉로23길 25","202607~202807","갱신","-","20,000","0","연립다세대"
"100","서울특별시 마포구 상수동","354-6","0354","0006","아름다운공간","전세","29.9400","202605","30","25,200","0","3","2017","토정로 127-5","202607~202807","갱신","-","24,000","0","연립다세대"
"101","서울특별시 서대문구 창천동","170-1","0170","0001","율도국인(201동)","월세","84.9600","202605","30","36,700","45","2","2007","신촌로3나길 7-18","202608~202808","갱신","사용","35,000","45","연립다세대"
"102","부산광역시 연제구 연산동","380-7","0380","0007","성광리젠시","월세","55.4175","202605","30","16,000","6","4","2018","과정로 259","202606~202806","갱신","-","16,000","3","연립다세대"
"103","서울특별시 송파구 삼전동","3-1","0003","0001","(3-1)","월세","17.3300","202605","30","3,000","40","5","2016","삼전로12길 4","202606~202806","갱신","-","3,000","37","연립다세대"
"104","서울특별시 송파구 송파동","182-2","0182","0002","가락빌리지","월세","62.2500","202605","30","8,000","29","-1","1994","송파대로34가길 30","202605~202803","갱신","-","8,000","29","연립다세대"
"105","서울특별시 송파구 송파동","86-6","0086","0006","행운주택","월세","22.8800","202605","30","1,000","47","3","2002","송파대로42길 9","202606~202806","갱신","-","1,000","44","연립다세대"
"106","서울특별시 강남구 논현동","190-2","0190","0002","진흥펠리체A동","월세","29.6700","202605","30","29,000","20","2","2015","논현로115길 19","202606~202806","갱신","사용","29,000","20","연립다세대"
"107","서울특별시 서초구 방배동","900-24","0900","0024","기현빌","월세","22.1000","202605","30","2,000","82","3","2016","서초대로28길 22-1","202606~202806","갱신","-","2,000","78","연립다세대"
"108","서울특별시 동작구 사당동","1006-17","1006","0017","(1006-17)","월세","36.5900","202605","30","20,700","22","1","1996","동작대로21길 28","202606~202806","갱신","-","25,000","0","연립다세대"
"109","서울특별시 중랑구 면목동","143-22","0143","0022","(143-22)","전세","40.0900","202605","30","40,000","0","4","2021","봉우재로20가길 8-3","202607~202807","갱신","-","40,000","0","연립다세대"
"110","서울특별시 성동구 용답동","167-13","0167","0013","(167-13)","전세","64.5600","202605","30","38,000","0","3","2008","용답15길 7","202607~202807","갱신","-","37,000","0","연립다세대"
"111","경기도 광주시 신현동","652-20","0652","0020","힐링타운(205동)","전세","69.5100","202605","30","26,000","0","3","2015","머루숯길 47-33","202607~202807","갱신","-","26,000","0","연립다세대"
"112","경기도 용인시 기흥구 구갈동","273","0273","0000","세종그랑시아2단지","전세","84.9830","202605","30","38,800","0","2","1999","기흥로38번길 34","202608~202808","갱신","사용","37,000","0","연립다세대"
"113","경기도 시흥시 거모동","1721-1","1721","0001","대륭주택가동","전세","47.3500","202605","30","6,900","0","3","1996","군자로465번안길 2","202605~202805","갱신","사용","7,000","0","연립다세대"
"114","서울특별시 송파구 문정동","86-10","0086","0010","하나빌","월세","35.7900","202605","30","36,000","10","4","2015","송이로36길 54-19","202605~203005","갱신","-","33,000","10","연립다세대"
"115","서울특별시 강남구 역삼동","684-4","0684","0004","브니엘빌","전세","42.2500","202605","30","19,446","0","4","2000","봉은사로48길 19","202605~202805","갱신","-","18,520","0","연립다세대"
"116","서울특별시 은평구 녹번동","108-7","0108","0007","베라힐7차","전세","25.7900","202605","30","22,000","0","6","2020","녹번로7길 15-1","202605~202805","갱신","사용","21,000","0","연립다세대"
"117","서울특별시 도봉구 쌍문동","81-5","0081","0005","호연주택","월세","59.9500","202605","30","8,500","50","3","2001","도봉로123길 52","202607~202807","갱신","-","8,500","30","연립다세대"
"118","부산광역시 연제구 연산동","790-19","0790","0019","흥진빌(790-19)","월세","22.7675","202605","30","500","40","4","2011","연제로8번길 90","202605~202805","갱신","-","500","29","연립다세대"
"119","서울특별시 중랑구 상봉동","84-15","0084","0015","어반카운티(84-15)","월세","29.6000","202605","30","20,500","20","6","2018","봉우재로49길 18","202608~202808","갱신","사용","20,500","15","연립다세대"
"120","서울특별시 용산구 효창동","5-222","0005","0222","5-222","전세","13.7100","202605","30","13,000","0","3","2013","백범로47길 10","202606~202806","갱신","-","12,600","0","연립다세대"
"121","제주특별자치도 서귀포시 대정읍 보성리","2405","2405","0000","라온프라이빗에듀","월세","59.9854","202605","30","1,000","83","1","2014","에듀시티로 74","202607~202707","갱신","-","1,000","117","연립다세대"
"122","경기도 수원시 권선구 세류동","533-2","0533","0002","해가든다원","전세","39.6000","202605","30","16,000","0","2","2016","정조로526번길 7","202607~202807","갱신","-","1,540","0","연립다세대"
"123","서울특별시 강동구 성내동","381-9","0381","0009","덕진하우스","월세","45.9700","202605","30","21,600","4","2","2012","천호대로174길 41-5","202607~202807","갱신","-","21,600","0","연립다세대"
"124","서울특별시 송파구 석촌동","19","0019","0000","Greenplus","월세","17.5300","202605","30","2,000","58","3","2012","삼학사로18길 16","202606~202805","갱신","-","2,000","55","연립다세대"
"125","서울특별시 도봉구 창동","700-122","0700","0122","하나맨션","전세","64.3000","202605","30","18,550","0","4","2002","도봉로126길 21","202605~202805","갱신","-","17,850","0","연립다세대"
"126","서울특별시 중랑구 상봉동","85-2","0085","0002","해피뜨래(85-2)","전세","18.6800","202605","30","20,000","0","6","2018","상봉로23길 25","202607~202807","갱신","-","20,000","0","연립다세대"
"127","경기도 군포시 산본동","73","0073","0000","수성드림빌1차","전세","24.2500","202605","30","17,000","0","4","2013","고산로 730","202607~202807","갱신","사용","17,000","0","연립다세대"
"128","서울특별시 강서구 화곡동","56-557","0056","0557","화성홈타운103동","월세","43.2600","202605","30","10,400","2","2","2002","초록마을로10길 44","202608~202808","갱신","사용","10,400","0","연립다세대"
"129","서울특별시 마포구 서교동","449-21","0449","0021","동궁빌라","월세","28.1100","202605","30","19,000","35","2","2012","동교로19길 52","202607~202807","갱신","-","18,000","35","연립다세대"
"130","서울특별시 마포구 서교동","449-21","0449","0021","동궁빌라","전세","28.1100","202605","30","19,000","0","2","2012","동교로19길 52","202607~202807","갱신","-","18,000","35","연립다세대"
"131","서울특별시 중랑구 묵동","75-3","0075","0003","대고샤인빌","전세","59.3400","202605","30","36,700","0","6","2020","공릉로12길 33","202607~202807","갱신","-","36,700","0","연립다세대"
"132","경기도 광주시 능평동","522-23","0522","0023","수레숲타운하우스(23동)","전세","82.4100","202605","30","20,000","0","1","2015","수레실길 66-2","202606~202806","갱신","사용","20,000","0","연립다세대"
"133","경기도 수원시 팔달구 인계동","1007-8","1007","0008","에코하우스","월세","21.9400","202605","30","500","45","4","2016","효원로193번길 11","202606~202806","갱신","사용","500","43","연립다세대"
"134","서울특별시 서초구 양재동","271-4","0271","0004","아름다운공간(271-4)","전세","29.4000","202605","30","21,000","0","5","2012","언남11길 16-10","202606~202806","갱신","사용","20,000","0","연립다세대"
"135","서울특별시 서초구 방배동","794-4","0794","0004","(794-4)","월세","48.1500","202605","30","3,000","120","4","2008","동광로15길 16","202606~202806","갱신","사용","3,000","114","연립다세대"
"136","서울특별시 동작구 사당동","235-53","0235","0053","대일","전세","46.2500","202605","30","24,000","0","2","1983","사당로8가길 27","202605~202805","갱신","-","27,000","0","연립다세대"
