"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-01 ~ 2026-06-30"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"17","경기도 김포시 양촌읍 양곡리","4**","8m미만","23.00","전세","202606","30","3,000","0","2017","양곡1로56번길","202606~202806","갱신","-","3,000","0","단독다가구"
"18","서울특별시 양천구 신정동","9**","12m미만","84.51","월세","202606","30","30,000","20","1997","목동로19길","202607~202807","갱신","-","28,000","20","단독다가구"
"19","경기도 용인시 기흥구 보정동","1***","12m미만","27.00","월세","202606","30","1,000","60","2008","죽현로","202607~202807","갱신","사용","1,000","60","단독다가구"
"20","서울특별시 송파구 방이동","1**","12m미만","99.96","전세","202606","30","13,000","0","1989","백제고분로50길","202607~202806","갱신","-","12,000","0","단독다가구"
"21","경기도 용인시 수지구 풍덕천동","1***","12m미만","26.44","월세","202606","30","500","55","2000","풍덕천로","202607~202807","갱신","-","500","50","단독다가구"
"22","경기도 성남시 분당구 야탑동","3**","8m미만","60.00","월세","202606","30","2,200","95","2002","매화로37번길","202606~202706","갱신","-","2,200","90","단독다가구"
"23","서울특별시 은평구 신사동","3**","8m미만","55.91","전세","202606","30","15,000","0","1989","증산로17길","202607~202807","갱신","-","14,000","0","단독다가구"
"24","경기도 성남시 분당구 야탑동","3**","8m미만","70.00","전세","202606","30","31,000","0","2002","매화로37번길","202607~202807","갱신","-","29,000","0","단독다가구"
"25","서울특별시 성북구 석관동","6*","12m미만","31.30","월세","202606","30","7,000","20","1990","돌곶이로8바길","202608~202808","갱신","-","7,000","0","단독다가구"
"26","경기도 광주시 신현동","3**","8m미만","50.00","전세","202606","30","14,000","0","2018","문형산길47번길","202607~202807","갱신","-","14,000","0","단독다가구"
"27","서울특별시 강북구 미아동","7**","8m미만","33.45","전세","202606","30","9,500","0","1994","삼양로59가길","202608~202808","갱신","-","8,400","0","단독다가구"
"28","경기도 파주시 동패동","1***","12m미만","78.00","전세","202606","30","19,200","0","2019","교하로307번길","202609~202809","갱신","사용","18,300","0","단독다가구"
"29","경기도 의정부시 신곡동","7**","12m미만","99.00","월세","202606","30","2,000","70","2003","부용로185번길","202608~202808","갱신","-","3,000","60","단독다가구"
"30","서울특별시 마포구 서교동","3**","8m미만","70.70","월세","202606","30","5,000","100","1998","월드컵로8길","202607~202707","갱신","-","5,000","100","단독다가구"
"31","경기도 성남시 분당구 백현동","5**","25m미만","65.00","전세","202606","30","33,000","0","2010","동판교로52번길","202611~202811","갱신","-","33,000","0","단독다가구"
"32","경기도 성남시 수정구 고등동","5**","12m미만","36.18","월세","202606","30","25,000","40","2020","청계산로3길","202607~202701","갱신","사용","25,000","40","단독다가구"
"33","경기도 성남시 분당구 정자동","2**","8m미만","50.00","월세","202606","30","16,175","2","1996","불곡남로17번길","202607~202807","갱신","-","15,675","0","단독다가구"
"34","경기도 구리시 수택동","4**","12m미만","40.94","전세","202606","30","7,500","0","1992","원수택로32번길","202606~202806","갱신","-","5,500","0","단독다가구"
"35","서울특별시 송파구 방이동","1**","8m미만","57.80","월세","202606","30","14,500","74","1996","올림픽로32길","202606~202806","갱신","-","14,000","74","단독다가구"
"36","인천광역시 부평구 삼산동","5**","12m미만","20.00","월세","202606","30","500","45","2011","체육관로174번길","202607~202706","갱신","-","500","45","단독다가구"
"37","서울특별시 광진구 구의동","6**","8m미만","209.00","월세","202606","30","3,000","40","1996","자양로35길","202607~202806","갱신","-","1,500","40","단독다가구"
"38","경기도 성남시 수정구 신흥동","3***","8m미만","37.01","전세","202606","30","10,000","0","1993","산성대로249번길","202608~202808","갱신","-","1,500","35","단독다가구"
"39","서울특별시 광진구 중곡동","1**","8m미만","29.75","월세","202606","30","7,000","10","1994","능동로40길","202607~202807","갱신","-","7,000","0","단독다가구"
"40","경기도 용인시 기흥구 영덕동","9**","12m미만","113.37","월세","202606","30","15,000","67","2010","흥덕2로75번길","202607~202807","갱신","-","2,000","110","단독다가구"
"41","서울특별시 송파구 거여동","*","12m미만","25.00","월세","202606","30","1,000","45","1993","거마로15길","202606~202806","갱신","-","1,000","40","단독다가구"
"42","서울특별시 강북구 미아동","3**","8m미만","51.15","전세","202606","30","8,900","0","1993","도봉로37길","202608~202808","갱신","-","8,480","0","단독다가구"
"43","서울특별시 강남구 청담동","3*","8m미만","44.78","전세","202606","30","16,000","0","2000","학동로59길","202606~202806","갱신","-","15,000","0","단독다가구"
"44","경기도 안양시 만안구 안양동","6**","8m미만","57.54","월세","202606","30","3,000","55","1976","안양로263번길","202607~202807","갱신","-","3,000","50","단독다가구"
"45","서울특별시 금천구 시흥동","8**","8m미만","82.47","전세","202606","30","13,650","0","1989","독산로41길","202607~202807","갱신","-","13,000","0","단독다가구"
"46","울산광역시 남구 달동","6**","12m미만","54.45","월세","202606","30","1,000","45","2003","신정로58번길","202607~202806","갱신","-","1,000","37","단독다가구"
"47","서울특별시 노원구 상계동","4**","8m미만","50.00","전세","202606","30","15,000","0","1994","한글비석로50길","202606~202806","갱신","-","12,000","0","단독다가구"
"48","경기도 성남시 수정구 단대동","1**","8m미만","59.04","월세","202606","30","600","44","1988","희망로464번길","202606~202806","갱신","-","600","44","단독다가구"
"49","경기도 성남시 수정구 신촌동","2**","12m미만","75.00","전세","202606","30","22,000","0","2004","신촌로","202607~202906","갱신","-","20,000","0","단독다가구"
"50","서울특별시 성동구 성수동2가","3**","8m미만","47.40","월세","202606","30","10,000","60","1994","성덕정19가길","202606~202806","갱신","-","21,000","0","단독다가구"
"51","경기도 여주시 점봉동","4**","8m미만","27.50","월세","202606","30","2,500","41","2022","금박길","202607~202807","갱신","-","10,000","10","단독다가구"
"52","경기도 부천시 원미구 상동","4**","12m미만","45.00","전세","202606","30","11,500","0","1996","장말로166번길","202606~202806","갱신","-","11,000","0","단독다가구"
"53","경기도 성남시 수정구 태평동","6**","25m미만","36.24","월세","202606","30","1,000","43","1994","탄리로","202606~202806","갱신","-","1,000","41","단독다가구"
"54","서울특별시 중랑구 면목동","1**","8m미만","29.00","월세","202606","30","8,000","45","2020","면목로66길","202607~202807","갱신","사용","11,000","35","단독다가구"
"55","서울특별시 성동구 행당동","1**","8m미만","47.46","전세","202606","30","42,000","0","2022","고산자로8길","202607~202807","갱신","-","40,000","0","단독다가구"
"56","서울특별시 마포구 연남동","4**","8m미만","125.88","월세","202606","30","67,300","48","1997","월드컵북로8길","202607~202807","갱신","-","63,500","48","단독다가구"
"57","경기도 구리시 수택동","4**","12m미만","64.00","월세","202606","30","20,000","25","1985","원수택로42번길","202606~202806","갱신","-","20,000","15","단독다가구"
"58","충청남도 천안시 동남구 병천면 가전리","1**","8m미만","27.00","전세","202606","30","5,513","0","2016","충절로","202607~202807","갱신","-","5,250","0","단독다가구"
"59","충청북도 제천시 화산동","2**","12m미만","83.00","전세","202606","30","9,000","0","2012","내토로27길","202607~202807","갱신","사용","9,000","0","단독다가구"
"60","경기도 시흥시 능곡동","4**","8m미만","198.39","전세","202606","30","63,000","0","2022","능곡중앙로","202607~202807","갱신","사용","60,000","0","단독다가구"
"61","서울특별시 동대문구 제기동","8**","8m미만","17.00","월세","202606","30","500","48","2011","정릉천동로","202607~202707","갱신","-","500","47","단독다가구"
"62","서울특별시 송파구 마천동","3**","8m미만","49.75","전세","202606","30","15,000","0","1993","성내천로39길","202607~202807","갱신","사용","15,000","0","단독다가구"
"63","대전광역시 서구 갈마동","2**","8m미만","33.00","전세","202606","30","10,000","0","2011","계룡로","202607~202807","갱신","-","10,000","0","단독다가구"
"64","서울특별시 동작구 사당동","2**","8m미만","34.00","전세","202606","30","9,500","0","1989","사당로9라길","202608~202808","갱신","-","9,000","0","단독다가구"
"65","서울특별시 성북구 삼선동5가","6*","12m미만","48.04","전세","202606","30","20,000","0","1997","삼선교로20길","202606~202806","갱신","-","23,000","0","단독다가구"
"66","서울특별시 은평구 역촌동","1*","8m미만","33.87","전세","202606","30","16,000","0","2018","역말로","202607~202807","갱신","-","16,000","0","단독다가구"
"67","서울특별시 강북구 수유동","4**","8m미만","52.00","전세","202606","30","9,200","0","1996","화계사1나길","202607~202806","갱신","-","9,200","0","단독다가구"
"68","경기도 성남시 수정구 태평동","4***","8m미만","35.02","월세","202606","30","3,000","20","1987","남문로31번길","202606~202806","갱신","-","3,000","10","단독다가구"
"69","경기도 과천시 문원동","1**","8m미만","53.33","전세","202606","30","23,100","0","2014","문원청계3길","202606~202806","갱신","사용","22,000","0","단독다가구"
"70","경기도 광주시 송정동","9*","8m미만","30.00","월세","202606","30","1,000","30","2011","수하길","202606~202706","갱신","-","1,000","30","단독다가구"
"71","경기도 과천시 중앙동","3*","12m미만","73.17","월세","202606","30","1,500","117","1986","희망1길","202607~202707","갱신","-","1,500","117","단독다가구"
"72","전남광주통합특별시 여수시 문수동","4**","12m미만","97.00","전세","202606","30","3,500","0","","문수7길","202607~202706","갱신","-","3,500","0","단독다가구"
"73","경기도 안산시 상록구 사동","1***","12m미만","20.00","전세","202606","30","4,000","0","2001","서암로3길","202608~202808","갱신","-","3,500","0","단독다가구"
"74","서울특별시 중랑구 망우동","3**","8m미만","56.57","월세","202606","30","3,000","65","2004","망우로71길","202606~202806","갱신","사용","8,000","35","단독다가구"
"75","경기도 성남시 수정구 수진동","3***","8m미만","20.00","월세","202606","30","700","50","1991","수정남로22번길","202606~202806","갱신","사용","700","47","단독다가구"
"76","서울특별시 도봉구 쌍문동","3**","12m미만","41.00","월세","202606","30","5,000","40","1989","우이천로32길","202606~202806","갱신","-","1,000","50","단독다가구"
"77","서울특별시 동작구 상도동","2**","8m미만","36.00","월세","202606","30","3,000","50","1994","장승배기로5길","202606~202806","갱신","-","1,000","50","단독다가구"
"78","충청남도 천안시 동남구 청당동","5**","12m미만","50.00","전세","202606","30","10,000","0","2013","청수6로","202606~202806","갱신","-","10,000","0","단독다가구"
"79","경기도 화성시 동탄구 능동","1***","12m미만","45.00","전세","202606","30","17,000","0","2015","여울로4길","202607~202707","갱신","-","16,300","0","단독다가구"
"80","서울특별시 강동구 명일동","2**","12m미만","50.00","전세","202606","30","30,000","0","1987","상암로63길","202606~202806","갱신","-","27,250","0","단독다가구"
"81","서울특별시 동대문구 휘경동","1**","8m미만","40.00","월세","202606","30","8,500","20","1991","이문로6길","202607~202807","갱신","-","8,500","10","단독다가구"
"82","충청남도 서산시 석림동","7**","8m미만","30.00","월세","202606","30","2,000","25","2015","한마음2로","202606~202706","갱신","-","2,000","25","단독다가구"
"83","서울특별시 서초구 방배동","7**","8m미만","42.00","월세","202606","30","5,000","50","1996","동광로9길","202607~202806","갱신","-","3,000","50","단독다가구"
"84","서울특별시 영등포구 당산동3가","1**","8m미만","16.00","전세","202606","30","5,900","0","1993","국회대로","202607~202807","갱신","-","5,900","0","단독다가구"
"85","서울특별시 관악구 신림동","1***","8m미만","75.00","월세","202606","30","20,500","12","1978","난곡로61길","202608~202808","갱신","사용","20,000","10","단독다가구"
"86","경기도 광명시 광명동","2**","8m미만","27.00","전세","202606","30","4,800","0","1993","광오로17번길","202606~202806","갱신","-","4,800","0","단독다가구"
"87","경기도 고양시 일산동구 마두동","8**","8m미만","52.41","전세","202606","30","13,650","0","1997","일산로286번길","202606~202806","갱신","사용","13,000","0","단독다가구"
"88","서울특별시 강북구 수유동","5**","8m미만","40.00","전세","202606","30","13,000","0","1996","인수봉로55길","202606~202806","갱신","-","7,000","0","단독다가구"
"89","서울특별시 강북구 수유동","2**","8m미만","60.75","월세","202606","30","1,500","30","1993","4.19로2길","202607~202807","갱신","-","1,500","30","단독다가구"
"90","경기도 남양주시 호평동","6**","25m미만","30.00","월세","202606","30","500","44","2010","늘을2로14번길","202608~202808","갱신","-","500","42","단독다가구"
"91","서울특별시 강동구 길동","3**","8m미만","45.00","전세","202606","30","18,500","0","1996","양재대로115길","202608~202808","갱신","-","16,500","0","단독다가구"
"92","경상남도 진주시 칠암동","2**","12m미만","54.48","월세","202606","30","1,510","6","2022","진주대로942번길","202610~202809","갱신","-","1,505","5","단독다가구"
"93","서울특별시 성동구 성수동2가","5**","25m미만","46.00","전세","202606","30","15,000","0","1997","성수이로","202607~202807","갱신","-","14,000","0","단독다가구"
"94","서울특별시 서대문구 북아현동","1**","12m미만","195.70","전세","202606","30","17,000","0","1979","북아현로6길","202606~202806","갱신","-","33,000","0","단독다가구"
"95","경기도 용인시 기흥구 상갈동","4**","12m미만","40.00","월세","202606","30","2,000","55","2006","금화로105번길","202606~202706","갱신","-","3,000","50","단독다가구"
"96","서울특별시 강북구 수유동","2**","8m미만","56.70","전세","202606","30","12,500","0","1993","노해로8길","202607~202807","갱신","-","9,500","0","단독다가구"
"97","서울특별시 송파구 오금동","3*","8m미만","20.00","전세","202606","30","5,300","0","1988","중대로31가길","202606~202806","갱신","-","5,000","0","단독다가구"
"98","서울특별시 서초구 양재동","2**","8m미만","27.00","월세","202606","30","5,000","27","1997","마방로6길","202607~202807","갱신","-","5,000","27","단독다가구"
"99","경기도 고양시 덕양구 향동동","4**","12m미만","67.34","전세","202606","30","26,000","0","2020","꽃내음1길","202608~202808","갱신","사용","25,200","0","단독다가구"
"100","경기도 안양시 만안구 안양동","8**","12m미만","30.00","월세","202606","30","1,500","40","1997","안양로405번길","202606~202806","갱신","-","1,000","42","단독다가구"
"101","경기도 남양주시 호평동","6**","25m미만","49.05","전세","202606","30","9,450","0","2010","늘을1로16번안길","202607~202807","갱신","사용","9,000","0","단독다가구"
"102","서울특별시 도봉구 창동","6**","8m미만","30.00","월세","202606","30","1,500","30","1995","도봉로114길","202606~202806","갱신","사용","5,000","0","단독다가구"
"103","서울특별시 강북구 수유동","4**","8m미만","53.19","월세","202606","30","2,000","45","2000","삼양로73나길","202606~202806","갱신","-","2,000","40","단독다가구"
"104","서울특별시 용산구 용산동2가","*","8m미만","63.51","전세","202606","30","24,000","0","1996","신흥로20길","202606~202806","갱신","-","17,850","0","단독다가구"
"105","충청북도 제천시 화산동","1**","12m미만","36.00","월세","202606","30","300","43","2014","남산로","202606~202706","갱신","사용","300","43","단독다가구"
"106","대구광역시 달성군 다사읍 매곡리","1***","12m미만","45.00","월세","202606","30","1,000","30","2007","대실역북로2길","202607~202707","갱신","-","1,000","29","단독다가구"
"107","서울특별시 중랑구 중화동","3**","8m미만","59.71","전세","202606","30","20,000","0","1997","중랑천로29길","202607~202806","갱신","-","20,000","0","단독다가구"
"108","대전광역시 중구 선화동","3**","25m미만","29.88","월세","202606","30","100","20","1979","중앙로79번길","202606~202806","갱신","-","100","20","단독다가구"
"109","경상북도 경주시 내남면 노곡리","5**","8m미만","99.48","월세","202606","30","5,000","20","2018","","202606~202907","갱신","-","2,500","20","단독다가구"
"110","경기도 광주시 초월읍 쌍동리","1**","8m미만","50.00","전세","202606","30","13,500","0","2013","도곡길22번길","202606~202806","갱신","-","4,000","50","단독다가구"
"111","서울특별시 송파구 삼전동","4*","12m미만","30.00","전세","202606","30","15,500","0","1988","삼전로6길","202607~202807","갱신","-","13,000","0","단독다가구"
"112","경기도 용인시 처인구 고림동","3**","8m미만","82.80","월세","202606","30","6,000","40","","고림로200번길","202607~202806","갱신","-","5,000","40","단독다가구"
"113","경기도 고양시 일산동구 백석동","1***","12m미만","107.12","월세","202606","30","3,000","79","1997","강송로125번길","202607~202807","갱신","-","3,000","75","단독다가구"
"114","서울특별시 서대문구 홍은동","1**","8m미만","74.97","전세","202606","30","16,000","0","","연희로41다길","202607~202807","갱신","-","15,000","0","단독다가구"
"115","서울특별시 성북구 동선동3가","1**","25m미만","97.20","월세","202606","30","10,000","65","1992","동소문로26다길","202607~202807","갱신","-","10,000","65","단독다가구"
"116","서울특별시 성동구 행당동","1**","8m미만","63.10","전세","202606","30","42,000","0","","고산자로8길","202607~202807","갱신","-","40,000","0","단독다가구"
"117","서울특별시 종로구 평창동","5**","8m미만","154.71","전세","202606","30","69,000","0","2004","평창23길","202608~202808","갱신","-","69,000","0","단독다가구"
"118","서울특별시 성동구 사근동","1**","8m미만","33.00","월세","202606","30","1,000","80","1996","사근동12길","202607~202807","갱신","-","1,000","80","단독다가구"
"119","서울특별시 강남구 대치동","9**","8m미만","52.80","월세","202606","29","1,000","110","1994","선릉로72길","202607~202807","갱신","-","1,000","103","단독다가구"
"120","경기도 고양시 덕양구 토당동","8**","12m미만","50.00","월세","202606","29","2,000","50","2002","지도로13번길","202607~202807","갱신","-","2,000","45","단독다가구"
"121","서울특별시 중구 신당동","1**","8m미만","15.00","월세","202606","29","300","40","1990","퇴계로88가길","202606~202806","갱신","-","300","32","단독다가구"
"122","서울특별시 강동구 성내동","2**","8m미만","20.00","월세","202606","29","1,000","37","1988","천호대로168나길","202606~202806","갱신","사용","1,000","35","단독다가구"
"123","경기도 의정부시 민락동","7**","25m미만","99.13","월세","202606","29","14,300","10","2003","승지로","202608~202808","갱신","-","14,000","0","단독다가구"
"124","서울특별시 서초구 방배동","8**","8m미만","51.68","전세","202606","29","22,900","0","1997","서초대로27길","202607~202807","갱신","사용","21,900","0","단독다가구"
"125","경기도 의정부시 호원동","1**","8m미만","15.00","월세","202606","29","200","41","2016","망월로13번길","202607~202707","갱신","-","200","46","단독다가구"
"126","서울특별시 동작구 상도동","2**","8m미만","24.00","월세","202606","29","12,000","5","2022","국사봉10길","202607~202807","갱신","-","13,000","5","단독다가구"
"127","경기도 용인시 수지구 죽전동","3**","8m미만","26.50","월세","202606","29","3,000","37","2011","달맞이로","202608~202808","갱신","-","3,000","35","단독다가구"
"128","경기도 수원시 영통구 매탄동","4**","12m미만","22.00","월세","202606","29","2,000","35","2010","삼성로168번길","202607~202807","갱신","-","300","45","단독다가구"
"129","경기도 용인시 수지구 신봉동","4**","8m미만","88.49","월세","202606","29","21,000","5","2018","신봉1로248번길","202608~202808","갱신","사용","20,500","3","단독다가구"
"130","경기도 성남시 분당구 수내동","1**","12m미만","25.00","월세","202606","29","2,000","50","","발이봉남로31번길","202606~202706","갱신","사용","2,000","45","단독다가구"
"131","경기도 안양시 동안구 관양동","1***","12m미만","58.13","월세","202606","29","13,000","23","1984","일동로204번길","202607~202807","갱신","-","13,000","20","단독다가구"
"132","서울특별시 성동구 성수동1가","1*","8m미만","31.99","월세","202606","29","8,000","30","1990","상원길","202608~202808","갱신","-","8,000","0","단독다가구"
"133","경기도 고양시 일산서구 일산동","6**","12m미만","49.00","월세","202606","29","7,500","6","2003","일청로35번길","202609~202809","갱신","-","7,500","0","단독다가구"
"134","경기도 성남시 분당구 정자동","1**","8m미만","60.00","전세","202606","29","21,700","0","2005","황새울로12번길","202608~202808","갱신","-","18,000","10","단독다가구"
"135","서울특별시 서초구 반포동","7**","8m미만","24.79","월세","202606","29","600","70","1989","주흥15길","202607~202707","갱신","사용","600","68","단독다가구"
"136","경기도 오산시 외삼미동","1**","8m미만","28.00","전세","202606","29","6,000","0","2010","외삼미로","202606~202806","갱신","-","6,000","0","단독다가구"
"137","경기도 용인시 기흥구 구갈동","4**","8m미만","36.00","월세","202606","29","500","58","","신구로54번길","202608~202808","갱신","-","500","55","단독다가구"
"138","경기도 수원시 영통구 영통동","9**","12m미만","20.26","월세","202606","29","3,000","31","2001","덕영대로1673번길","202608~202708","갱신","사용","3,000","31","단독다가구"
"139","경기도 성남시 분당구 백현동","5**","25m미만","120.46","전세","202606","29","67,000","0","2010","동판교로52번길","202609~202809","갱신","-","67,000","0","단독다가구"
"140","경기도 평택시 안중읍 송담리","8**","12m미만","30.00","월세","202606","29","2,628","35","2017","송담6길","202606~202706","갱신","-","4,000","55","단독다가구"
"141","서울특별시 송파구 잠실동","3**","8m미만","33.60","월세","202606","29","10,000","6","1999","백제고분로18길","202608~202807","갱신","-","10,000","4","단독다가구"
"142","경상북도 포항시 북구 양덕동","1***","12m미만","38.00","월세","202606","29","300","40","","양덕로30번길","202606~202706","갱신","-","300","40","단독다가구"
"143","서울특별시 종로구 가회동","*","8m미만","102.49","월세","202606","29","33,000","66","","북촌로11길","202608~202807","갱신","-","27,500","55","단독다가구"
"144","서울특별시 금천구 독산동","1**","8m미만","25.00","월세","202606","29","6,000","10","1992","독산로82가길","202607~202807","갱신","-","6,000","0","단독다가구"
"145","서울특별시 강북구 미아동","8*","8m미만","199.88","월세","202606","29","200","50","2018","오패산로38길","202606~202806","갱신","-","200","48","단독다가구"
"146","서울특별시 서대문구 창천동","4**","8m미만","40.58","월세","202606","29","1,500","86","1992","연희로4길","202608~202808","갱신","-","1,500","86","단독다가구"
"147","서울특별시 중랑구 면목동","1**","8m미만","29.92","월세","202606","29","9,000","11","1992","동일로99길","202608~202808","갱신","-","8,500","11","단독다가구"
"148","서울특별시 송파구 석촌동","1**","8m미만","28.00","월세","202606","29","3,500","60","2013","송파대로47길","202609~202809","갱신","-","3,500","48","단독다가구"
"149","서울특별시 성동구 도선동","3**","12m미만","51.70","전세","202606","29","39,100","0","2020","무학로6길","202606~202806","갱신","-","37,400","0","단독다가구"
"150","인천광역시 부평구 산곡동","1**","8m미만","59.22","월세","202606","29","3,000","72","2017","마장로252번길","202607~202807","갱신","사용","3,000","69","단독다가구"
"151","경기도 하남시 망월동","8**","25m미만","65.24","전세","202606","29","28,130","0","2016","미사강변한강로158번길","202607~202807","갱신","-","26,791","0","단독다가구"
"152","경기도 고양시 일산서구 일산동","6**","12m미만","49.00","월세","202606","29","7,500","6","2003","일청로35번길","202609~202809","갱신","-","7,500","0","단독다가구"
"153","울산광역시 남구 달동","6**","12m미만","54.45","월세","202606","29","300","47","","신정로58번길","202607~202706","갱신","사용","300","45","단독다가구"
"154","울산광역시 남구 달동","6**","12m미만","54.45","월세","202606","29","500","42","","신정로58번길","202607~202706","갱신","사용","500","40","단독다가구"
"155","울산광역시 남구 달동","6**","12m미만","54.45","월세","202606","29","300","42","","신정로58번길","202607~202806","갱신","사용","300","40","단독다가구"
"156","전남광주통합특별시 순천시 매곡동","4**","8m미만","27.00","월세","202606","29","100","30","2016","북정2길","202607~202701","갱신","-","100","30","단독다가구"
"157","서울특별시 강서구 공항동","6**","12m미만","80.55","월세","202606","29","12,750","30","1987","남부순환로9길","202608~202808","갱신","-","11,850","30","단독다가구"
"158","서울특별시 강동구 고덕동","2**","12m미만","28.00","월세","202606","29","1,000","62","1988","아리수로72길","202607~202807","갱신","사용","1,000","60","단독다가구"
"159","서울특별시 서대문구 남가좌동","3**","8m미만","38.86","월세","202606","29","1,000","60","1993","증가로","202606~202806","갱신","사용","1,000","55","단독다가구"
"160","서울특별시 동대문구 휘경동","1**","8m미만","18.15","전세","202606","29","5,000","0","1996","이문로6길","202607~202707","갱신","-","5,000","0","단독다가구"
"161","울산광역시 남구 신정동","1***","12m미만","49.58","월세","202606","29","500","35","1992","문수로435번길","202606~202806","갱신","-","500","35","단독다가구"
"162","서울특별시 성동구 송정동","8*","8m미만","57.19","월세","202606","29","1,000","100","1973","동일로43가길","202606~202806","갱신","사용","1,000","95","단독다가구"
"163","서울특별시 송파구 문정동","3*","12m미만","40.00","전세","202606","29","14,000","0","1991","동남로6길","202606~202806","갱신","-","12,000","0","단독다가구"
